plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,plate_dr16q,mjd_dr16q,fiberid_dr16q,ra_dr16q,dec_dr16q,separation
4296,55499,392,0.13270593295527533,1.685750920483803,7852,56987,352,0.1327059355073743,1.6857509141952078,2.443071601424288E-5
6110,56279,966,0.4104228105975949,21.551834366929235,7595,56957,858,0.41042278816502176,21.55183435700577,8.317406803680752E-5
4216,55477,136,0.5920629143550116,-1.1459661884026817,7850,56956,806,0.5920629154315975,-1.1459661801414736,2.999172363256613E-5
7034,56564,160,0.9240043519651522,-4.7599588490881555,9342,57722,245,0.9240054284452697,-4.759961217370889,0.009359718282172651
4354,55810,885,1.0328869404903855,-1.8096110637850835,7850,56956,132,1.0328869337645585,-1.8096110744481073,4.537881305496878E-5
4534,55863,678,1.1880618260127562,9.968370205854168,11561,58485,372,1.1880618128433866,9.968370191909088,6.856092226069276E-5
6879,56539,838,1.2915625365548067,23.563128235046406,7665,57328,228,1.2915625193928122,23.56312822808561,6.192816330403553E-5
4354,55810,26,1.3592363830372562,-2.917770360914926,9345,57713,174,1.3592363680318726,-2.91777038536916,1.03250842792147E-4
4365,55539,464,1.4635468212945852,-3.184665267319474,7898,57363,723,1.4635468074474716,-3.1846652823380426,7.348835349595673E-5
4534,55863,824,1.706625414056532,10.354864496694557,11561,58485,262,1.7066254200437925,10.35486450292789,3.0872720346951E-5
4533,55855,466,1.9383168894174219,6.7558337753598865,8744,58124,502,1.9383168894701157,6.755833773246071,7.612067953170137E-6
6171,56311,758,2.038876486260733,22.400661866490157,7593,56958,591,2.038876471603203,22.40066186023579,5.373054949644796E-5
6880,56543,346,2.144079747095134,24.419876085830058,7665,57328,960,2.144079744812757,24.419876083504914,1.1226688561080817E-5
4217,55478,84,2.372594203165278,-1.1031932741386223,7862,56984,103,2.3725942048295394,-1.1031932613651294,4.637309560698562E-5
6174,56243,592,2.443438451882912,20.155436613711323,7594,56947,840,2.4434384133755884,20.155436595587425,1.4557713010489464E-4
7127,56566,866,2.578650426944307,33.17451826199176,7748,58396,976,2.5786484990317717,33.17451605377777,0.009845960474451087
4298,55511,342,2.584225161298434,1.7210224610585114,7853,56988,389,2.5842251681766584,1.7210224441208943,6.580718969747476E-5
4297,55806,939,2.9385584885717435,3.8670497491205578,8745,57391,500,2.938558491189724,3.8670497516114115,1.299345737228852E-5
4218,55479,662,3.0149256969307885,1.0904165079887929,7862,56984,957,3.0149256892741505,1.0904164954966973,5.2744033295086145E-5
4365,55539,906,3.200927731259185,-1.4925618739764008,7863,56975,816,3.2009277252102635,-1.492561880336015,3.159178255911469E-5
7129,56569,362,3.369309948487853,31.13440504856784,7745,58077,272,3.369294868681152,31.13442092317543,0.07365593751642077
7129,56569,627,3.4508776913979773,33.744794500541644,7744,58396,568,3.4508760624287333,33.74479635537582,0.008268359079604175
6881,56540,748,3.51352057617396,24.281365339013288,7663,57328,649,3.513520567794444,24.281365335813952,2.981235755309651E-5
4218,55479,822,3.656612294070669,1.2363430834804225,7864,56979,544,3.656612294214085,1.2363430837144112,9.879305042784689E-7
7131,56570,440,3.7288782021888096,35.08479924890958,7747,58398,73,3.7288728194324676,35.08480159099917,0.0179592577508139
4218,55479,852,3.8356116718219653,0.45461460001092796,9406,58067,780,3.835611672636446,0.45461460598933806,2.172107826486778E-5
4416,55828,912,3.9609172404133233,6.895820264442221,8744,58124,906,3.960917250121497,6.895820250911411,5.980474602389886E-5
7128,56567,498,4.449513865388951,30.632419625722086,7742,58076,585,4.449512185051617,30.632418116993296,0.007522839598772115
4219,55480,599,4.478449135745848,0.7121289509203235,7864,56979,755,4.478449130890567,0.7121289429109572,3.371723492509068E-5
7128,56567,446,4.802209967517399,29.733578888364516,7742,58076,654,4.802209967370459,29.73357845364223,0.0015650002933102923
4537,55806,262,4.8563128742769095,6.99839069489415,8746,58396,622,4.856312877926484,6.998390689810737,2.2471255154478006E-5
6175,56265,826,4.91636183626963,22.30686382986672,7591,56954,608,4.916361838762327,22.30686383093021,9.142415617020571E-6
4367,55566,562,5.336450869387306,-1.8104646685088677,7865,56955,740,5.336450862339277,-1.8104646796890635,4.7572051727678054E-5
4219,55480,746,5.3662020325703566,1.0722966034792991,7854,56989,326,5.366202028311989,1.0722965965312594,2.933560610970389E-5
4299,55827,952,5.5370259630808505,4.539302033924686,9444,58073,805,5.537025967345244,4.539302038612099,2.2780627964711523E-5
6882,56541,356,5.649944716463722,23.06918765594846,7591,56954,782,5.649944675497522,23.069187638082052,1.5015762870958105E-4
7128,56567,848,6.325524731738028,30.98986262345137,7741,58078,256,6.325517265465464,30.989861137651612,0.02365458108403167
7037,56570,966,6.382711059067759,-4.261456598897967,9341,57743,363,6.382709088839178,-4.261456322073049,0.0071430737930807875
7037,56570,972,6.423257145295452,-4.474998169147378,9341,57743,370,6.423259133150168,-4.474996990622393,0.00830065963075458
4417,55829,910,6.553191301153674,6.543255288879771,8746,58396,924,6.553191307357736,6.543255281297125,3.51782980494489E-5
6274,56550,672,6.7196525022517335,29.20384605772436,7742,58076,12,6.719652498712151,29.203846056027817,1.268930860917075E-5
4221,55443,516,7.093984378164457,0.061080701013935146,7866,57002,198,7.093984377791358,0.06108069663421427,1.5824101961618977E-5
6281,56295,797,7.233369511089279,25.959346574756772,7660,57357,618,7.233369504783241,25.959346572572855,2.1873073260484666E-5
4221,55443,552,7.54908908292785,0.7972193628381238,7855,57011,386,7.549089082493693,0.7972193472230059,5.623614400396606E-5
6283,56239,365,7.737881368280398,22.300614032598588,7615,56977,400,7.737881373575419,22.30061403485576,1.9418271642830303E-5
4302,55531,150,8.400206378792372,1.6475179071773385,9442,58076,304,8.400206378169427,1.647517890992679,5.8307880954158454E-5
6193,56237,582,8.772286808989008,19.223962136024674,7588,56903,670,8.77228677782,19.22396212093399,1.1906760812792061E-4
6252,56248,304,8.928129666127347,29.505177789493157,7714,57363,151,8.928129652649943,29.505177786303506,4.3759757843269813E-5
4221,55443,844,8.928730327584162,0.5285642323469721,7868,57006,686,8.928730328311019,0.5285642364190263,1.4891081703820632E-5
6283,56239,88,9.282782037422066,22.8657647180289,7615,56977,898,9.282782001198598,22.865764702226976,1.3294295245983687E-4
6283,56239,922,9.30686769703334,24.18932337091376,7672,57339,394,9.306867674016814,24.18932336207924,8.200288701303537E-5
