plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,ra_dr16q,dec_dr16q,plate_dr16q,mjd_dr16q,fiberid_dr16q,separation
4296,55499,392,0.13270593295527533,1.685750920483803,0.1327059355073743,1.6857509141952078,7852,56987,352,2.443071601424288E-5
6110,56279,966,0.4104228105975949,21.551834366929235,0.41042278816502176,21.55183435700577,7595,56957,858,8.317406803680752E-5
4216,55477,136,0.5920629143550116,-1.1459661884026817,0.5920629154315975,-1.1459661801414736,7850,56956,806,2.999172363256613E-5
7034,56564,160,0.9240043519651522,-4.7599588490881555,0.9240054284452697,-4.759961217370889,9342,57722,245,0.009359718282172651
4354,55810,885,1.0328869404903855,-1.8096110637850835,1.0328869337645585,-1.8096110744481073,7850,56956,132,4.537881305496878E-5
4534,55863,678,1.1880618260127562,9.968370205854168,1.1880618128433866,9.968370191909088,11561,58485,372,6.856092226069276E-5
6879,56539,838,1.2915625365548067,23.563128235046406,1.2915625193928122,23.56312822808561,7665,57328,228,6.192816330403553E-5
4354,55810,26,1.3592363830372562,-2.917770360914926,1.3592363680318726,-2.91777038536916,9345,57713,174,1.03250842792147E-4
4365,55539,464,1.4635468212945852,-3.184665267319474,1.4635468074474716,-3.1846652823380426,7898,57363,723,7.348835349595673E-5
4534,55863,824,1.706625414056532,10.354864496694557,1.7066254200437925,10.35486450292789,11561,58485,262,3.0872720346951E-5
4533,55855,466,1.9383168894174219,6.7558337753598865,1.9383168894701157,6.755833773246071,8744,58124,502,7.612067953170137E-6
6171,56311,758,2.038876486260733,22.400661866490157,2.038876471603203,22.40066186023579,7593,56958,591,5.373054949644796E-5
6880,56543,346,2.144079747095134,24.419876085830058,2.144079744812757,24.419876083504914,7665,57328,960,1.1226688561080817E-5
4217,55478,84,2.372594203165278,-1.1031932741386223,2.3725942048295394,-1.1031932613651294,7862,56984,103,4.637309560698562E-5
6174,56243,592,2.443438451882912,20.155436613711323,2.4434384133755884,20.155436595587425,7594,56947,840,1.4557713010489464E-4
7127,56566,866,2.578650426944307,33.17451826199176,2.5786484990317717,33.17451605377777,7748,58396,976,0.009845960474451087
4298,55511,342,2.584225161298434,1.7210224610585114,2.5842251681766584,1.7210224441208943,7853,56988,389,6.580718969747476E-5
6174,56243,420,2.615187598747184,18.926047668994773,2.6151875931128075,18.926047666234496,7594,56947,181,2.1607673140151202E-5
4297,55806,939,2.9385584885717435,3.8670497491205578,2.938558491189724,3.8670497516114115,8745,57391,500,1.299345737228852E-5
4218,55479,662,3.0149256969307885,1.0904165079887929,3.0149256892741505,1.0904164954966973,7862,56984,957,5.2744033295086145E-5
4365,55539,906,3.200927731259185,-1.4925618739764008,3.2009277252102635,-1.492561880336015,7863,56975,816,3.159178255911469E-5
4297,55806,72,3.253147682450333,3.5338351776119956,3.2531476854908306,3.533835170490402,8745,57391,465,2.786841782494442E-5
7129,56569,362,3.369309948487853,31.13440504856784,3.369294868681152,31.13442092317543,7745,58077,272,0.07365593751642076
7129,56569,627,3.4508776913979773,33.744794500541644,3.4508760624287333,33.74479635537582,7744,58396,568,0.008268359079604175
6881,56540,748,3.51352057617396,24.281365339013288,3.513520567794444,24.281365335813952,7663,57328,649,2.9812357553096514E-5
4218,55479,822,3.656612294070669,1.2363430834804225,3.656612294214085,1.2363430837144112,7864,56979,544,9.879305042784689E-7
7131,56570,440,3.7288782021888096,35.08479924890958,3.7288728194324676,35.08480159099917,7747,58398,73,0.0179592577508139
4218,55479,852,3.8356116718219653,0.45461460001092796,3.835611672636446,0.45461460598933806,9406,58067,780,2.172107826486778E-5
